sku,name,description,short_description
016824,Amoy Blended Sesame Oil 150ml,"An amber coloured oil extracted from roasted sesame seeds and soyabeans - the distinctly fragrant flavour of Amoy Blended Sesame Oil gives a unique aroma to a variety of dishes, both cooked and raw. It is popular for seasoning noodles and coup when it is added just before serving",
361543,Amoy Chicken Powder 1kg,"Since 1909. Ajinomoto Group has been committed to serving good taste every day through continuous research and development. Made from selected quality materials. ""Ajinomoto Brand"" Chicken Powder is a high quality chicken seasoning  and provides an authentic chicken stock taste and flavour for all your dishes.",
337568,Amoy Chilli Sauce 470g,,
210625,Amoy Crushed Yellow Bean Sauce 2.15kg,,
400820,Amoy Gold Label Dark Soy Sauce 500ml,Non - GMO Soyabean Natural Fermentation,
400838,Amoy Gold Label Light Soy Sauce 500ml,Non - GMO Soyabean Natural Fermentation,
408229,Amoy Lemon Sauce  380g,"LEMON CHICKEN (serves 4): Cut 450g chicken breast fillet into small pieces, marinate with salt, petter and 1 tbsp dry sherry for 25 minutes. Coat the chicken pieces with 1 beaten egg and 2tbsp flour. Deep-fry in moderate hot oil for 2-3 minutes or until golden. Remove and drain. Warm 200ml Amoy Lemon Sauce and pour on top of the chicken. Serve hot with fresh lemon slices as garnish. Ensure fully cooked before serving",
016816,Amoy Light Soy Sauce 150ml,For light and delicately flavoured stir-fries,
378729,Amoy Oyster Sauce Regular Tin 2.3kg,No added preservative,
016840,Amoy Rice Vinegar 500ml,"Prepared from rice by fermentation.  Amoy Rice Vinegar is an indispensable ingredient for making Sweet & Sour dishes.  Try it for pickling red & green peppers, ginger and cucumber or as a base for cold dishes, both meats and vegetables.",
380154,Amoy Supreme Dark Soy Sauce 500ml,Non - GMO Soyabean Natural Fermentation,
380162,Amoy Supreme Light Soy Sauce 500ml,Non - GMO Soyabean Natural Fermentation,
172742,Amoy Toban Jhan Chilli Bean Paste 350ml/400g,"SICHUAN PRAWNS (Serves 4): Mix 275g/10oz Raw peeled prawns with 1/2 egg white and 1 tbsp cornflour paste. Stir-fry in 3 tbsp warm oil for 1 minute remove and drain. In the same oil, stir fry 50g/2oz each of mange-tout, water chesnuts, baby corn cobs and straw mushrooms with 1/2 tsp salt and sugar, add the prawns with 1/2 tsp chopped garlic, ginger, spring onions and 3 tbsp Amoy Toban Chilli Bean Paste with 1 tbsp dry sherry. Blend well and stir-fry for 2 minutes and serve. Ensure fully cooked before serving.",
144485,Beef Flavour Rice Noodle 65g,,
135277,Chicken Flavour Noodle Bowl 75g,,
135335,Chicken Flavour Rice Noodle 65g,,
143016,Instant Beef Flavour Noodle 85g,,
135327,Instant Chicken Flavour Noodle 85g,,
135301,Instant Shrimp Flavour Noodle 85g,,
135343,Shrimp Flavour Rice Noodle 65g,,
116582,Aroy-D Coconut Milk Extract 400ml,"Store at room temperature. Once opened shelf life is max 2 days in refrigerator. To regain the original texture from hardening due to cold climate, place the product in a hot water batch for 5-10 minutes and stir occasionally.",
159475,Aroy-D Jackfruit in Syrup 565g,,
100081,Aroy-D Longan in Syrup 565g,,
128082,Aroy-D Rambutan in Syrup 565g,,
244814,Aroy-D Sour Mustard Green in Brine 549ml,,
128033,Aroy-D Young Green Jackfruit in Brine 565g,,
010074,Flavoured Prawn Crackers 400g,,
324368,Indonesian Meat Satay 50g,"No added MSG, preservatives or artificial colours. Serves 4",
324350,Indonesian Mee Goreng Sambal Fried Noodles 50g,"No added MSG, preservatives or artificial colours. Serves 4",
324442,Indonesian Rendang Curry Gulai 50g,"No added MSG, preservatives or artificial colours. Serves 4",
324376,Singapore Hainanese Chicken Rice 50g,"No added MSG, preservatives or artificial colours. Serves 4",
324384,Singapore Laksa Coconut Curry Noodles 60g,"No added MSG, preservatives or artificial colours. Serves 3",
324392,Szechuan Hot and Sour Soup Suan La Tang 50g,"No added MSG, preservatives or artificial colours. Serves 4",
324335,Thai Green Curry Kaang Kiew Wan 50g,"No added MSG, preservatives or artificial colours. Serves 4",
324400,Thai Pad Thai Noodles 50g,"No added MSG, preservatives or artificial colours. Serves 4",
324343,Thai Red Curry Kaang Daeng 50g,"No added MSG, preservatives or artificial colours. Serves 4",
397679,XO Sauce Seafood Instant Noodle 103g,,
056317,Chill Out Bag,Ensure handles are properly closed,
251116,Seasoning for Sichuan Dish - Pickled Cabbage Fish Flavour 300g,Seasoning for Cooking.,
245951,Radix Isatidis (Banlangen Herb) Beverage 200g,,
348888,"""Pho"" - Soup Seasoning 75g",,
002360,Permicol Apricot Yellow Powder N7752 500g,,
001784,Permicol Bright Red Powder N9326 500g,,
002352,Permicol Deep Orange Powder N5507 500g,,
099747,Permicol Orange Powder N9876 500g,,
349886,Wasabi Green Peas 225g,,
371906,Bamboo Shoots with Bai Yanang and Chilli 680g,"Bamboo Shoot Yum: Taking shoots to partially shred. Boil the shredded bamboo shoots in Bai Yanang juice. Remove from heat after boiled. Add sliced green onion, fish sauce, ground dried chili pepper, lime juice and half of ground toasted rice. Mix well and place on a serving plate. Serve with sticky rice. BAMBOO SHOOT WITH BAI YANANG AND CHILLI PRODUCED FROM FRESH BAMBOO SHOOTS HARVESTED DIRECTLY FROM BAMBOO ORCHARDS AND PROCESSED USING THE HIGHEST FOOS MANUFACTURING STANDARDS AND PROCESSING TECHNOLOGY TO PRESERVE ITS QUALITY.",
371914,Bamboo Shoots with Bai Yanang Extract 680g,Bamboo Shoot with Bai Yanang Extract produced from fresh bamboo shoots harvested directly from bamboo orchards and processed using the highest food manufacturing standards and processing technology to preserve its quality.,
341099,"""Tiger Brand"" Rice Stick 250g",,
290452,Custard Powder 3kg,"Custard Powder, just add milk and sugar",
297721,Vermicelli 5pcs Bag - Assorted Flavour 538g,,
371385,Vermicelli 5pcs Bag - Vegetable Flavour 550g,,
206318,"Bowl 5""","5"" (12.2cm) width/diameter, 2.4"" (5.6cm) height",
148643,"Bowl 6""","6"" (15.0cm) width/diameter, 2.6"" (6.8cm) height",
097501,"Chicken Casserole Pot 7.5""","Pot: 7.5"" (18.4cm) width/diameter, 4.2"" (10.5cm) height. Lid: 7.9"" (20.1cm) width/diameter, 2.6"" (6.1cm) height. Casserole Pot: 7.5"" (18.4cm) width/diameter, 6.7"" (16.7cm) height",
097519,"Chicken Casserole Pot 8.5""","Pot: 8.5"" (20.7cm) width/diameter, 4.8"" (11.7cm) height. Lid: 8.7"" (22.3cm) width/diameter, 2.3"" (5.7cm) height. Casserole Pot: 8.5"" (20.7cm) width/diameter, 7.5"" (18.6cm) height",
198598,"Dish 7"" Round","7.0"" (17.6cm) width/diameter, 1.4"" (3.4cm) height",
233999,"Dish 7"" Shallow","7.0"" (17.6cm) width/diameter, 1.3"" (3.1cm) height",
185512,"Ginseng Pot 6""","Pot: 4.6"" (11.9cm) width/diameter, 5.0"" (11.4cm) height. Patterned Lid: 4.5"" (11.7cm) width/diameter, 1.5"" (5.0cm) height. Flat Lid: 4.2"" (10.5cm) width/diameter, 0.6"" (1.2cm), height. Pot with Flat Lid: 5.25"" (13.3cm) height. Pot with both lids: 6.85"" (17.0cm) height",
157883,"Ginseng Pot 8""","Pot: 4.85"" (12.7cm) width/diameter, 5.3"" (13.5cm) height. Patterned Lid: 4.85"" (12.7cm) width/diameter, 2.05"" (5.0cm) height. Flat Lid: 4.5"" (11.4cm) width/diameter, 0.5"" (1.1cm) height. Pot with Flat Lid: 5.5"" (13.9cm) height. Pot with both Lids: ",
189613,"Rice Bowl 4.5""","4.6"" (11.3cm) width/diameter, 2.25"" (5.5cm) height",
221671,Sake Set Giftbox,"Sake Bottle: 2.55"" (5.8cm) width/diameter, 5.45"" (13.0cm) height. Sake Cup x4: 1.6"" (4.2cm) width/diameter, 1.75"" (4.4cm) height",
206367,"Sauce Dish 2.75""","2.6"" (6.75cm) width/diameter, 0.55"" (1.3cm) height",
206391,"Sauce Dish 3.75""","3.6"" (9.0cm) width/diameter, 0.6"" (1.7cm) height",
206391,"Serving Spoon 8.5""","Spoon: 2.6"" (6.7cm) width, 4.0"" (10.7cm) length. Handle: 0.5"" (1.3cm) width/diameter, 4.4"" (12.2cm), length. Serving Spoon: 8.4"" (21.3cm) length, 0.6"" (1.4cm) height",
167684,"Spoon 5.5""","Spoon: 1.6"" (4.0cm) width, 2.4"" (6.7cm) length. Handle: 0.6"" (1.5cm) width/diameter, 2.8"" (7.8cm). Entire spoon: 5.2"" (13.0cm) length, 0.2"" (0.7cm) height",
412031,Teacup,"2.7"" (7.0cm) width/diameter, 1.8"" (4.4cm) height",
148585,Teapot Flat Top,"Length of teapot (spout and handle): 8.1"", 20.6cm, Height: 3.1"" (8.1cm). Width/diameter of pot: 3.4"" (8.6cm). Lid: 2.9"" (7.4cm) width/diameter, 0.45"" (1.1cm) height",
266767,"10"" Oval Plate","7.1"" (18.2cm) width, 10.0"" (24.9cm) length, 0.7"" (1.8cm) height",
053256,"3"" Teacup","3.0"" (7.4cm) width/diameter, 2.3"" (5.7cm) height",
015461,"3.5"" Round Soup Bowl","3.5"" (8.6cm) width/diameter, 1.6"" (4.1cm) height",
263368,"3.5"" Sauce Dish","3.5"" (8.6cm) width/diameter, 0.4"" (1.1cm) height",
299214,"4.5"" Round Rice Bowl","4.5"" (10.8cm) width/diameter, 2.0"" (5.0cm) height",
263376,"5"" Spoon","Spoon: 1.7"" (4.4cm) width, 2.55"" (6.5cm) length. Handle: 0.6"" (1.4cm) width, 3.0"" (7.5cm) length. Soup Ladle: 5"" (13.3cm) length, 0.45"" (0.9cm) height",
263335,"6"" Round Plate","6.0"" (14.7cm) width/diameter, 0.2"" (0.5cm) height",
053363,"8"" Oval Plate","5.6"" (14.3cm) width, 7.7"" (19.4cm) length, 0.4"" (1.1cm) height",
266783,"8.5"" Soup Ladle","Spoon: 3.3"" (8.4cm) width, 3.4"" (8.6cm) length. Handle: 0.4"" (1.0cm) width, 7.1"" (19.8cm) length. Entire Spoon: 10.2"" (26.0cm) length, 1.3"" (2.6cm) height",
330142,"9"" Raise Plate","8.0"" (22.4cm) width/diameter, 2.1"" (5.1cm) height",
266775,"Serving Spoon 8.5""","Spoon: 2.6"" (6.5cm) width, 4.2"" (11.0cm) length. Handle: 0.6"" (1.6cm) width, 4.3"" (11.2cm) length. Serving Spoon: 8.5"" (21.3cm) length, 0.7"" (1.2cm) height",
007716,Hot Curry Powder 425g,Hot Curry Powder,
007682,Mild Curry Powder 425g,Medium Curry  Powder,
090431,Brabantia Food Warmer Black,"Suitable for standard candles, built in sunffers - operated from the outside, heat spreading aluminium grille, easy to move - large cool grips",
117994,Brabantia Food Warmer Chrome,"Suitable for standard candles, built in sunffers - operated from the outside, heat spreading aluminium grille, easy to move - large cool grips",
019521,Brabantia Food Warmer White,"Suitable for standard candles, built in sunffers - operated from the outside, heat spreading aluminium grille, easy to move - large cool grips",
280222,Kuah Ayam Madu (Honey Chicken Sauce) 180g,"A sweet ready-to-cook sauce with honey, ginger, vinegar, tomato paste and selected spices. Serves 6",
271882,Kuah Kari Ayam (Chicken Curry Sauce) 180g,"A coconut curry ready-to-cook sauce with chillies, grated roast coconut, garlic and selected spices. Serves 4",
039370,Kuah Kari Daging (Meat Curry Sauce) 180g,"A spicy aromatic ready-to-cook curry sauce for meat with coconut milk, chilli, coriander and spices",
158618,Kuah Masak Lemak (Creamy Coconut Sauce) 180g,"An authentic ready-to-cook Creamy Coconut Sauce with ginger, bird chilli and lemongrass. Serves 4",
159939,Kuah Sambal Tumis (Sambal Tumis Sauce) 180g,"A favourite hot and spicy ready-to-cook Malaysian sauce with chilli, tomato paste and lemongrass. Traditionally cooked with seafood. Serves 4",
123596,Scouring Pads Ex Large,,
123588,Scouring Pads Large,,
023762,Seven Up Can 330ml,"Lemon and Lime Flavoured Soft Drink, Colouring Free - Caffeine Free - Preservative Free. Put some play into your everyday. Escape to a carefree world as facebook.com/7UPUK for fun and chances to WIN. Don't grow up. 7up.",
008615,Tango Orange Can 330ml,Orange Soft Drink with Sugar and Sweeteners. Contains no artificial colours or flavours (or any of those poncy ingredients like ginseng or elderflower). 57% of people in blind taste tests preferred Tango to the other leading fizzy drink brand. Consumer research January 2011.,
350462,Annato Seeds (Atchuete) 57g,Use as a cooking ingredient to add natural colour and flavour,
312603,Coconut Gel in Syrup - Green (Nata de Coco) 340g,Includes banana flavouring,
295493,Coconut Gel in Syrup (Nata de Coco) 340g ,"Use as a dessert: Open the bottle and empty contents into a container. Use as an ingredient: Drain the syrup of Nata de Coco. This can be added to various recipes such as fruit cocktail, fruit salad and baked potatoes",
299826,Coconut Sport in Syrup (Macapuno String) 340g,,
276154,Fruit Mix and Beans in Syrup (Halo Halo) 340g,,
337519,Jackfruit in Syrup (Langka) 340g,,
304931,Palm Vinegar (Sukang Paombong) 750ml,,
312611,Pickled Papaya (Atchara) 340g,,
300418,Sugar Cane Vinegar (Sukang Iloko) 750ml,,
308114,Sugar Palm Fruit in Syrup - Red (Kaong) 340g,,
337535,Sweet Banana in Syrup (Saging Na Saba) 340g,,
302802,Sweet Tamarind 170g,Ready to eat Sweet Tamarind,
302166,Agar-Agar Green Gulaman 20g,,
299495,Agar-Agar Red Gulaman 20g,,
299487,Agar-Agar White Gulaman 20g,,
290940,Flour Sticks (Pancit Kanton) 227g,,
290932,Rice Sticks (Pancit Bijon) 227g,,
027318,Bull Head Barbecue Sauce 737g,Condiment ready to serve.,
365387,Bull Head Shallot Sauce 360g,,
255893,Bull Head Vegetarian Barbecue Sauce 250g,Condiment ready to serve.,
391698,Clam Broth Stock 66g,,
196741,Bulldog Tonkatsu Sauce (Vegetable and Fruit Sauce) 500ml,,
166124,Bulldog Worcester Sauce 500ml,,
344796,Oolong Tea 200g,"Pour boiling water over the teabag. After 3 to 5 minutes, remove tea bag and serve.",
087999,"10"" Tureen","Plate: 7.05"" (18cm) width, 9.4"" (23.85cm) length, 0.95"" (2.3cm) height. Pot: 10"" (25.5cm) length, 6.4"" (16.3cm) width, 3.5"" (8.7cm) height. Lid: 7.8"" (19.8cm) length, 5.9"" (15.2cm) width, 2.05"" (5.2cm) height. Tureen: 5.8"" (14.9cm) height",
088104,"11"" Plate - Octagon","11.0"" (27.7cm) length, 8.0"" (20.3cm) width, 0.55"" (1.3cm) height",
087965,"4"" Tureen","Pot: 4.6"" (11.8cm) length, 3.05"" (7.8cm) width, 1.4"" (3.4cm) height. Lid: 3.44"" (8.8cm) length, 2.7"" (7.0cm) width, 1.1"" (2.5cm) height, Tureen: 2.6"" (6.5cm) height",
088088,"7"" Plate - Octagon","7.0"" (18.0cm) length, 5.15"" (13.1cm) width, 0.45"" (1.1cm) height",
087981,"8"" Tureen","Plate: 7.8"" (19.9cm) length, 6.1"" (15.5cm) width, 0.6"" (1.9cm) height. Pot: 8.0"" (23.2cm) length, 5.75"" (15.0cm) width, 2.6"" (6.5cm) height. Lid: 10.15""(17.8cm) length, 5.1"" (13.0cm) width, 1.8"" (3.8cm). Tureen: 4.8"" (12.0cm) height",
088096,"9"" Plate - Octagon","9.0"" (22.6cm) length, 6.4"" (16.3cm), 0.6"" (1.5cm) height",
088112,Pot w/Cover (Large),"Pot: 11.35"" (28.7cm) length, 9.7"" (24.5cm) width, 2.3"" (5.6cm) height",
088070,Sugar Container,"Pot: 2.55"" (6.5cm) width/diameter, 2.45"" (5.6cm) height. Lid: 2.2"" (5.4cm) width/diameter, 1.45"" (3.5cm) height. Sugar Container: 3.45"" (8.3cm) height",
088039,"6"" Bowl - Octagon","5.55"" (14.3cm) width/length, 1.5"" (3.8cm) height",
235119,Calbee Hot & Spicy Flavoured Potato Chips 55g,,
279954,Shrimp Chips - Wasabi Flavour 93g,Baked wheat snack product with Shrimps.,
060376,Shrimp Chips 100g,"""A toasted light snack, with a touch of shrimp"" A delectable new snack made with tidbits of shrimp, wheat and flour  and vegetable oil blended together and toasted to a golden crispy crunch .",
370569,Calpis Soft Drink 1.5L,Calpis Concentrate is a natural drink derived from nonfat milk. It contains no colours or preservatives,
396754,China Green Tea Special Gunpowder 500g,,
074708,"10"" Casserole","Pot: 10"" (25.9cm) width/diameter, 3.0"" (7.4cm) height. Lid: 8.8"" (22.3cm) width/diameter, 1.4"" (3.5cm) height. Casserole Pot: 4.5"" (11.3cm) height",
074609,"10.25"" Oval Platter","10.25"" (25.9cm) length, 7.4"" (18.8cm) width, 0.55"" (1.7cm) height",
074575,"10.25"" Plate","10.25"" (25.5cm) width/diameter, 0.8"" (2.0cm) height",
074617,"12"" Oval Platter","12.0"" (30.7cm) length, 8.7"" (22.2cm) width, 0.75"" (1.9cm) height",
089995,"12"" Round Plate","12.0"" (30.9cm) width/diameter, 1.3"" (3.0cm) height",
084145,"14"" Round Plate","14.0"" (35.8cm) width/diameter, 1.3"" (3.0cm) height",
084160,"16"" Oval Platter","16.0"" (40.3cm) length, 11.4"" (28.9cm) width, 1.3"" (2.7cm) height",
074500,"3"" Saucer","3.0"" (7.75cm) width/diameter, 0.75"" (1.7cm) height",
074526,"3.75"" Soup Bowl","3.75"" (9.3cm) width/diameter, 1.8"" (4.4cm) height",
074468,"4.5"" Rice Bowl","4.5"" (11.3cm) width/diameter, 1.9"" (4.8cm) height",
098301,"4.5"" Rice Bowl Thick","4.5"" (11.3cm) width/diameter, 2.0"" (5.0cm) height",
074476,"5.25"" Spoon","Spoon: 1.8"" (4.4cm) width, 2.25"" (5.7cm) length. Handle: 0.6"" (1.6cm) width, 2.5"" (6.5cm) handle. Entire Spoon: 5.25"" (12.8cm), 0.4"" (1.0cm) height",
074724,"6"" Coffee Saucer","6.0"" (14.8cm) width/diameter, 0.55"" (1.5cm) height",
074633,"6"" Soup Bowl","6.0"" (14.8cm) width/diameter, 1.95"" (4.8cm) height",
074534,"6.25"" Plate","6.25"" (15.8cm) width/diameter, 0.5"" (1.3cm)",
074641,"7"" Soup Bowl","7.0"" (17.3cm) width/diameter, 2.1"" (5.2cm) height",
074732,"7.25"" Casserole","Pot: 7.8"" (19.8cm) width/diameter, 2.45"" (6.1cm) height. Lid: 7.0"" (17.7cm) width/diameter, 0.25"" (1.8cm) height. Casserole Pot: 3.1"" (8.0cm) height",
074542,"7.25"" Plate","7.25"" (18.2cm) width/diameter, 0.45"" (1.25cm) height",
074674,"7.25"" Soup Bowl","7.25"" (18.2cm) width/diameter, 2.5"" (6.5cm) height",
074658,"8"" Soup Bowl","8.0"" (20.0cm) width/diameter, 2.45"" (6.0cm) height",
074583,"8.25"" Oval Platter","8.25"" (20.8cm) length, 5.75"" (14.7cm) width, 0.55"" (1.4cm) height",
074559,"8.25"" Plate","8.25"" (20.8cm) width/diameter, 0.7"" (1.7cm) height",
074682,"8.25"" Soup Bowl","8.25"" (20.8cm) width/diameter, 2.95"" (7.3cm) height",
074567,"9.25"" Plate","9.25"" (23.0cm) width/diameter, 0.75"" (1.7cm) height",
074716,Coffee Cup,"4.1"" (10.8cm) length, 3.2"" (8.2cm) width, 2.05"" (5.1cm) height",
074492,Tea Cup,"3.05"" (7.8cm) width/diameter, 2.05"" (5.1cm) height",
074484,Teapot,"Pot: 8.6"" (22.0cm) length, 5.5"" (13.3cm) width, 3.45"" (8.7cm) height. Lid: 3.1"" (7.9cm) width/diameter, 0.55"" (1.6cm) height. Teapot: 3.45"" (8.7cm) height",
299354,CBL Bean Paste 180g,"Use for seasoning salad, soup, noodles",
299347,CBL Hoisin Sauce (Sweet Sauce) 180g,,
337147,CBL Soy Bean Paste - Tub 300g,"Use for seasoning salad, soup, noodles",
338400,CLH Hot Soy Bean Paste 1kg,,
366401,CLH Soy Bean Paste 500g,Add it to your cooking as seasoning,
000729,Ginger Powder 100g,,
350918,Longkou Vermicelli 250g,,
096222,Chang Beer 330ml,,
325142,Sliced Rice Cake 450g,,
237719,Swan Spicy Hotpot Seasoning 300g,"Chongqing Hotpot, one of the most famous dishes in Mountain City, is peppery fresh and very charming. As the lead of Chonqing hotpot and nationwide diet industry, Chongqing Cygnet Group has been, for above 30 years, collecting experts specializing in seasoning, carrying on the craft of history, adopting the natural essence, gathering modern vogue and performing the wonderful cate. Chongqing Cygnet is coruscating with Bayu Feature and character charm. The chainstore has spread all over the nation and even the five continents, and also enjoys high reputation throughout the whole world. The Changguang rband hotpot condiment is just the crystal of Chongqing Cygnet after more than 30 years of researching, innovating and perfecting. Cygnet means the cate world, and Changguang brnad the king of seasoning.",
243121,Chao ZS Olives Vegetables 300g,,
127878,Chaokoh Coconut Milk 400ml,"This coconut milk can be used for making cakes, candies, cookies, ice cream, coconut jam (kaya), curries ad other preparations where coconut milk is required.",
366211,Chaokoh Young Sweetcorn 425g,,
161398,14CM Balti Dish,5cm deep,
076398,16CM Balti Dish ,6cm deep,
076406,18CM Balti Dish,7cm deep,
076505,28cm Colander,,
379248,"BBQ Pork Pin 14""",,
147736,"Bird's Nest Mould 7/8"" Inch Iron",,
267823,"Chef Set 10"" Knife Sharpener",With ring,
327700,"Chef Set 10"" Stainless Steel Food Tong",,
290379,"Chef Set 10""/25cm Heavy Duty Wire Whisk",,
327718,"Chef Set 12"" Stainless Steel Food Tong",,
290387,"Chef Set 12""/30cm Heavy Duty Wire Whisk","Part of a vast range from chefset housewares & chefset food service. High quality, stainless steel, dishwasher safe. Not suitable for non-stick pans.",
290403,"Chef Set 16""/40cm Heavy Duty Wire Whisk","Part of a vast range from chefset housewares & chefset food service. High quality, stainless steel, dishwasher safe. Not suitable for non-stick pans.",
291260,Chef Set 16cm Strainer,,
267831,"Chef Set 18"" Magnetic Knife Rack","Fork, Chopper, Scissor, Sharpener, Vegetable knife, Cooks knife, Boning Knife, Bread Knife, Fillet Knife, Paring Knife, Palette Knife, Slicer Serrated",
315937,Chef Set 32 Ounce Plastic Scoop,,
315721,"Chef Set Bakewell Pan 12""","W: 21.6 cm, 8.5"", H: 4cm, 1.6"" L: 31.8cm, 12..5""",
315671,"Chef Set Bakewell Pan 14""","W: 26.5 cm, 10.4"", H: 4cm, 1.6"", L: 42cm, 16.5""",
315689,"Chef Set Bakewell Pan 16""","W: W: 30.5 cm 12"", H:4cm, 1.6"", L: 42cm 16.5""",
315705,"Chef Set Bakewell Pan 20""","W: 42cm, 16.5"" H: 4cm, 1.6""  L: 52cm, 20.5""",
315713,"Chef Set Bakewell Pan 24""","W: 18"", 46cm  H: 1.4"", 3.5 cm L: 24"", 61cm",
